"BCR","BCR_name","CommonName","ScientificName","SPEC","No_individuals","Nsta_CJS","No_yrunique_adults","No_yrunique_young","phi.med","phi.sd","phi.05","phi.95","phi.trend.med","phi.trend.sd","phi.trend.05","phi.trend.95","sigma.phi.med","sigma.phi.sd","sigma.phi.05","sigma.phi.95","pi.med","pi.sd","pi.05","pi.95","pi.trend.med","pi.trend.sd","pi.trend.05","pi.trend.95","sigma.pi.med","sigma.pi.sd","sigma.pi.05","sigma.pi.95","ri.med","ri.sd","ri.05","ri.95","ri.trend.med","ri.trend.sd","ri.trend.05","ri.trend.95","sigma.ri.med","sigma.ri.sd","sigma.ri.05","sigma.ri.95","ahy.med","ahy.sd","ahy.05","ahy.95","ahy.trend.med","ahy.trend.sd","ahy.trend.05","ahy.trend.95","sigma.ahy.med","sigma.ahy.sd","sigma.ahy.05","sigma.ahy.95","hy.med","hy.sd","hy.05","hy.95","hy.trend.med","hy.trend.sd","hy.trend.05","hy.trend.95","sigma.hy.med","sigma.hy.sd","sigma.hy.05","sigma.hy.95"
22,"Eastern Tallgrass Prairie","Warbling Vireo","Vireo gilvus","WAVI",106,12,106,19,0.541,0.076,0.403,0.652,-0.008,0.026,-0.046,0.031,5.499,2.798,0.772,9.552,0.207,0.155,0.045,0.546,-0.025,0.037,-0.089,0.021,1.37,2.319,0.121,7.566,0.065,0.044,0.025,0.16,-0.016,0.033,-0.066,0.044,1.209,0.629,0.346,2.404,0.413,0.15,0.24,0.716,-0.012,0.01,-0.028,0.003,0.385,0.171,0.107,0.682,0.035,0.019,0.014,0.074,-0.023,0.036,-0.074,0.044,1.206,0.529,0.528,2.218
22,"Eastern Tallgrass Prairie","Ovenbird","Seiurus aurocapilla","OVEN",109,12,122,15,0.562,0.072,0.43,0.664,0.021,0.025,-0.015,0.066,5.197,2.584,1.24,9.468,0.464,0.069,0.323,0.548,-0.021,0.044,-0.092,0.05,3.938,2.62,0.698,9.083,0.141,0.041,0.082,0.215,0.003,0.023,-0.026,0.048,0.319,0.308,0.036,0.996,0.392,0.12,0.242,0.625,-0.015,0.014,-0.039,0.007,0.142,0.129,0.01,0.413,0.049,0.026,0.021,0.103,0.005,0.031,-0.044,0.057,0.331,0.344,0.033,1.034
22,"Eastern Tallgrass Prairie","Kentucky Warbler","Geothlypis formosa","KEWA",309,12,412,83,0.562,0.032,0.52,0.624,-0.015,0.025,-0.069,0.013,0.381,0.338,0.035,1.066,0.464,0.067,0.356,0.575,-0.03,0.038,-0.107,0.017,0.374,0.293,0.042,0.95,0.197,0.036,0.134,0.25,0.012,0.022,-0.018,0.053,0.346,0.207,0.061,0.741,1.012,0.365,0.563,1.729,0.046,0.017,0.016,0.072,0.119,0.092,0.011,0.301,0.144,0.068,0.068,0.28,0.001,0.031,-0.037,0.063,0.633,0.218,0.353,1.055
22,"Eastern Tallgrass Prairie","American Redstart","Setophaga ruticilla","AMRE",166,8,272,23,0.534,0.03,0.489,0.584,0.021,0.027,-0.011,0.077,0.445,0.646,0.037,1.759,0.672,0.114,0.497,0.872,-0.004,0.036,-0.045,0.07,0.832,0.923,0.1,2.752,0.056,0.021,0.027,0.097,0.001,0.021,-0.031,0.038,0.45,0.368,0.039,1.178,0.496,0.194,0.268,0.882,-0.004,0.016,-0.031,0.02,0.362,0.111,0.211,0.566,0.02,0.015,0.006,0.05,0.013,0.036,-0.048,0.071,0.522,0.39,0.063,1.307
22,"Eastern Tallgrass Prairie","Traill's Flycatcher","Empidonax alnorum/traillii","TRFL",602,12,806,31,0.519,0.042,0.436,0.57,-0.008,0.022,-0.037,0.031,1.772,1.245,0.467,4.336,0.255,0.059,0.177,0.37,-0.014,0.031,-0.066,0.035,0.362,0.334,0.034,1.067,0.015,0.006,0.007,0.026,0.043,0.029,0.001,0.097,0.993,0.417,0.349,1.729,0.939,0.224,0.636,1.362,-0.026,0.009,-0.041,-0.01,0.242,0.062,0.157,0.355,0.012,0.007,0.005,0.027,0.047,0.038,-0.012,0.112,0.883,0.387,0.314,1.586
22,"Eastern Tallgrass Prairie","Eastern Towhee","Pipilo erythrophthalmus","EATO",122,17,160,26,0.515,0.047,0.455,0.611,0.009,0.02,-0.021,0.043,0.374,0.451,0.034,1.357,0.959,0.133,0.63,1,-0.079,0.229,-0.562,0.163,5.55,2.73,0.915,9.533,0.185,0.049,0.108,0.266,-0.016,0.022,-0.061,0.012,0.478,0.367,0.048,1.203,0.577,0.115,0.407,0.784,0.049,0.014,0.027,0.072,0.095,0.089,0.009,0.284,0.081,0.031,0.041,0.142,0.009,0.024,-0.029,0.051,0.495,0.349,0.052,1.164
22,"Eastern Tallgrass Prairie","White-eyed Vireo","Vireo griseus","WEVI",296,9,424,79,0.546,0.022,0.518,0.589,0.016,0.012,-0.003,0.035,0.177,0.175,0.011,0.552,0.605,0.042,0.544,0.681,-0.012,0.02,-0.048,0.017,0.497,0.365,0.064,1.222,0.207,0.056,0.134,0.315,0.002,0.02,-0.03,0.035,0.201,0.169,0.026,0.555,0.805,0.296,0.471,1.399,-0.034,0.008,-0.048,-0.02,0.093,0.067,0.014,0.228,0.136,0.076,0.062,0.297,-0.021,0.021,-0.056,0.012,0.292,0.201,0.033,0.682
22,"Eastern Tallgrass Prairie","Carolina Wren","Thryothorus ludovicianus","CARW",382,23,499,499,0.407,0.043,0.34,0.48,-0.003,0.017,-0.03,0.024,0.985,0.35,0.528,1.66,0.694,0.061,0.6,0.799,0.02,0.025,-0.008,0.072,0.506,0.377,0.053,1.25,0.816,0.143,0.62,1.085,0.04,0.015,0.015,0.065,0.412,0.121,0.235,0.63,0.908,0.204,0.635,1.301,-0.006,0.012,-0.025,0.014,0.391,0.088,0.272,0.556,0.81,0.199,0.546,1.193,0.027,0.014,0.006,0.051,0.484,0.098,0.353,0.671
22,"Eastern Tallgrass Prairie","House Wren","Troglodytes aedon","HOWR",1269,23,1450,798,0.345,0.032,0.292,0.398,-0.04,0.025,-0.084,-0.003,0.446,0.242,0.081,0.879,0.542,0.055,0.458,0.641,-0.029,0.023,-0.071,0.002,0.182,0.165,0.014,0.529,0.378,0.071,0.277,0.511,0.021,0.013,0.003,0.044,0.454,0.097,0.323,0.635,1.931,0.597,1.21,3.07,-0.026,0.01,-0.043,-0.009,0.345,0.068,0.255,0.472,0.686,0.194,0.436,1.059,0.001,0.01,-0.016,0.017,0.549,0.097,0.421,0.735
22,"Eastern Tallgrass Prairie","Yellow-breasted Chat","Icteria virens","YBCH",418,9,495,56,0.469,0.054,0.371,0.548,-0.001,0.016,-0.029,0.023,0.397,0.411,0.039,1.302,0.621,0.081,0.484,0.753,-0.066,0.035,-0.134,-0.022,0.582,0.477,0.07,1.542,0.078,0.025,0.046,0.125,0.011,0.015,-0.011,0.037,0.267,0.216,0.031,0.713,0.842,0.382,0.43,1.647,-0.023,0.01,-0.04,-0.008,0.153,0.086,0.03,0.31,0.044,0.034,0.015,0.116,-0.009,0.024,-0.052,0.028,0.546,0.274,0.109,1.023
22,"Eastern Tallgrass Prairie","Painted Bunting","Passerina ciris","PABU",136,7,153,13,0.608,0.062,0.527,0.727,0.01,0.029,-0.032,0.058,1.452,1.646,0.199,5.309,0.443,0.092,0.291,0.595,-0.016,0.046,-0.083,0.066,0.486,0.584,0.044,1.752,0.127,0.031,0.074,0.174,0.029,0.028,-0.01,0.08,1.088,0.614,0.262,2.255,1.804,0.839,0.921,3.546,0.021,0.018,-0.014,0.047,0.182,0.13,0.026,0.44,0.137,0.123,0.038,0.398,0.04,0.032,-0.009,0.094,0.724,0.564,0.087,1.844
22,"Eastern Tallgrass Prairie","Song Sparrow","Melospiza melodia","SOSP",894,13,1132,595,0.467,0.03,0.417,0.517,0.004,0.01,-0.018,0.015,0.356,0.211,0.042,0.737,0.516,0.044,0.448,0.591,-0.018,0.012,-0.044,-0.004,0.178,0.162,0.017,0.525,0.47,0.085,0.349,0.627,0,0.007,-0.012,0.011,0.269,0.085,0.145,0.422,2.035,0.693,1.188,3.415,-0.058,0.009,-0.072,-0.043,0.223,0.074,0.119,0.357,0.867,0.34,0.482,1.566,-0.057,0.012,-0.076,-0.038,0.309,0.078,0.202,0.453
22,"Eastern Tallgrass Prairie","American Robin","Turdus migratorius","AMRO",915,33,1009,523,0.516,0.029,0.468,0.563,-0.003,0.016,-0.023,0.03,0.866,0.482,0.18,1.76,0.519,0.081,0.405,0.669,0.007,0.029,-0.026,0.067,0.652,0.45,0.074,1.522,0.356,0.079,0.249,0.505,-0.007,0.009,-0.023,0.005,0.544,0.124,0.373,0.778,1.618,0.306,1.193,2.187,0.007,0.009,-0.008,0.021,0.391,0.075,0.289,0.532,0.52,0.141,0.342,0.799,0.002,0.013,-0.019,0.023,0.516,0.104,0.377,0.711
22,"Eastern Tallgrass Prairie","Northern Cardinal","Cardinalis cardinalis","NOCA",1812,38,2327,556,0.585,0.017,0.56,0.617,0.001,0.007,-0.011,0.011,0.33,0.161,0.078,0.613,0.64,0.035,0.583,0.698,0.017,0.016,-0.007,0.047,0.385,0.179,0.097,0.698,0.207,0.025,0.17,0.25,0.004,0.011,-0.014,0.021,0.312,0.086,0.19,0.47,3.587,0.486,2.865,4.468,-0.011,0.004,-0.018,-0.004,0.044,0.032,0.004,0.108,0.711,0.13,0.53,0.953,-0.003,0.01,-0.021,0.014,0.305,0.08,0.194,0.452
22,"Eastern Tallgrass Prairie","Indigo Bunting","Passerina cyanea","INBU",1936,34,2369,162,0.514,0.019,0.486,0.548,0.009,0.013,-0.009,0.033,0.325,0.172,0.052,0.623,0.591,0.037,0.531,0.652,0.006,0.015,-0.018,0.031,0.289,0.19,0.03,0.642,0.049,0.009,0.036,0.064,-0.001,0.013,-0.02,0.024,0.45,0.15,0.231,0.718,2.95,0.535,2.207,3.947,0.014,0.006,0.005,0.024,0.163,0.04,0.107,0.236,0.129,0.038,0.081,0.202,0.014,0.02,-0.021,0.046,0.502,0.157,0.28,0.785
22,"Eastern Tallgrass Prairie","Gray Catbird","Dumetella carolinensis","GRCA",3689,30,4801,1884,0.525,0.014,0.501,0.548,-0.003,0.006,-0.012,0.008,0.094,0.078,0.008,0.252,0.573,0.028,0.525,0.615,-0.009,0.008,-0.023,0.004,0.19,0.123,0.022,0.417,0.242,0.038,0.189,0.314,0.006,0.006,-0.003,0.017,0.237,0.052,0.165,0.333,7.501,1.294,5.703,9.908,0.008,0.003,0.003,0.014,0.079,0.024,0.043,0.12,1.865,0.476,1.226,2.769,0.008,0.006,-0.002,0.018,0.202,0.045,0.141,0.287
22,"Eastern Tallgrass Prairie","Yellow Warbler","Setophaga petechia","YEWA",1166,12,1560,577,0.577,0.022,0.538,0.612,0,0.009,-0.013,0.017,0.484,0.235,0.148,0.925,0.5,0.048,0.429,0.584,-0.022,0.015,-0.056,-0.007,0.286,0.225,0.026,0.735,0.194,0.054,0.126,0.301,0.003,0.009,-0.011,0.018,0.409,0.1,0.272,0.596,1.856,0.628,1.077,3.104,-0.025,0.008,-0.037,-0.011,0.204,0.051,0.134,0.3,0.293,0.188,0.125,0.706,-0.013,0.017,-0.04,0.014,0.632,0.12,0.473,0.861
22,"Eastern Tallgrass Prairie","Downy Woodpecker","Dryobates pubescens","DOWO",542,39,677,785,0.504,0.036,0.443,0.559,-0.009,0.02,-0.044,0.021,0.294,0.233,0.042,0.78,0.784,0.112,0.613,0.981,0.011,0.042,-0.058,0.075,0.658,0.865,0.061,2.384,1.101,0.163,0.865,1.402,0.018,0.012,-0.001,0.038,0.416,0.097,0.28,0.596,1.135,0.143,0.925,1.392,-0.005,0.008,-0.018,0.007,0.184,0.066,0.081,0.299,1.277,0.19,0.997,1.623,0.013,0.008,-0.002,0.026,0.292,0.064,0.204,0.41
22,"Eastern Tallgrass Prairie","Wood Thrush","Hylocichla mustelina","WOTH",348,20,459,116,0.447,0.037,0.376,0.496,-0.007,0.023,-0.057,0.015,0.372,0.379,0.037,1.147,0.635,0.076,0.516,0.768,-0.037,0.054,-0.148,0.023,0.526,0.942,0.046,2.113,0.194,0.033,0.162,0.266,0.073,0.032,0.019,0.124,0.324,0.219,0.04,0.748,0.859,0.229,0.554,1.296,0.01,0.015,-0.016,0.033,0.274,0.104,0.124,0.463,0.221,0.066,0.136,0.349,0.073,0.023,0.036,0.112,0.444,0.195,0.131,0.778
22,"Eastern Tallgrass Prairie","Black-capped Chickadee","Poecile atricapillus","BCCH",595,27,660,520,0.491,0.028,0.448,0.538,0.012,0.013,-0.004,0.037,1.204,0.767,0.249,2.726,0.392,0.077,0.293,0.539,-0.025,0.023,-0.061,0.012,0.526,0.406,0.06,1.354,0.568,0.116,0.413,0.787,0.002,0.015,-0.021,0.028,0.579,0.139,0.393,0.844,1.458,0.256,1.104,1.936,-0.026,0.01,-0.042,-0.01,0.237,0.079,0.123,0.381,0.711,0.187,0.465,1.07,-0.023,0.01,-0.041,-0.008,0.565,0.108,0.424,0.772
22,"Eastern Tallgrass Prairie","Prothonotary Warbler","Protonotaria citrea","PROW",102,4,108,19,0.508,0.101,0.323,0.65,-0.021,0.067,-0.116,0.064,5.582,2.745,0.87,9.549,0.452,0.262,0.101,0.949,0.078,0.232,-0.145,0.543,3.252,2.953,0.241,9.239,0.143,0.059,0.061,0.249,0.042,0.051,-0.03,0.135,1.081,0.676,0.225,2.386,0.665,0.463,0.263,1.626,0.018,0.015,-0.001,0.048,0.656,0.211,0.368,1.047,0.06,0.072,0.012,0.208,0.057,0.052,-0.021,0.147,1.151,0.688,0.255,2.473
22,"Eastern Tallgrass Prairie","American Goldfinch","Spinus tristis","AMGO",2176,28,2362,5,0.434,0.023,0.394,0.467,-0.012,0.013,-0.036,0.009,0.339,0.176,0.068,0.65,0.69,0.074,0.577,0.822,-0.021,0.022,-0.056,0.017,0.389,0.309,0.049,1.021,0.001,0.001,0,0.003,-0.029,0.046,-0.102,0.048,0.754,0.876,0.053,2.624,2.183,0.494,1.528,3.122,-0.025,0.008,-0.037,-0.012,0.254,0.049,0.189,0.347,0.002,0.002,0,0.007,-0.049,0.062,-0.145,0.055,0.758,0.81,0.074,2.581
22,"Eastern Tallgrass Prairie","Red-eyed Vireo","Vireo olivaceus","REVI",461,23,518,14,0.609,0.028,0.559,0.65,-0.003,0.014,-0.027,0.016,0.675,1.279,0.064,3.447,0.426,0.128,0.257,0.677,-0.037,0.036,-0.106,0.008,1.242,1.157,0.217,3.626,0.022,0.007,0.012,0.035,-0.009,0.022,-0.049,0.023,0.39,0.361,0.033,1.154,0.921,0.184,0.665,1.266,-0.033,0.013,-0.055,-0.013,0.329,0.095,0.202,0.509,0.026,0.01,0.014,0.045,-0.027,0.025,-0.077,0.006,0.279,0.285,0.017,0.878
22,"Eastern Tallgrass Prairie","Common Yellowthroat","Geothlypis trichas","COYE",1716,33,2036,494,0.491,0.019,0.458,0.522,0,0.007,-0.013,0.011,0.129,0.117,0.011,0.375,0.56,0.038,0.501,0.624,-0.014,0.015,-0.039,0.01,0.385,0.179,0.098,0.694,0.111,0.02,0.082,0.148,0.01,0.01,-0.004,0.029,0.342,0.097,0.204,0.519,2.035,0.47,1.42,2.945,-0.001,0.006,-0.011,0.009,0.181,0.045,0.118,0.263,0.166,0.061,0.094,0.289,0.014,0.012,-0.005,0.034,0.354,0.086,0.238,0.515
23,"Prairie Hardwood Transition","Song Sparrow","Melospiza melodia","SOSP",1749,18,1818,1296,0.427,0.021,0.393,0.461,0.006,0.007,-0.007,0.016,0.13,0.103,0.014,0.34,0.619,0.034,0.566,0.679,-0.011,0.01,-0.026,0.007,0.268,0.149,0.042,0.534,0.532,0.083,0.411,0.686,-0.005,0.009,-0.023,0.005,0.331,0.073,0.23,0.468,4.037,1.336,2.48,6.756,-0.026,0.007,-0.038,-0.015,0.136,0.044,0.072,0.215,2.006,0.71,1.165,3.412,-0.043,0.011,-0.062,-0.025,0.362,0.069,0.27,0.495
23,"Prairie Hardwood Transition","Warbling Vireo","Vireo gilvus","WAVI",102,9,87,15,0.552,0.071,0.447,0.675,-0.008,0.024,-0.044,0.03,3.529,2.818,0.343,9.206,0.296,0.182,0.059,0.647,-0.026,0.043,-0.104,0.015,3.683,2.736,0.411,9.087,0.057,0.046,0.018,0.156,-0.031,0.039,-0.107,0.019,1.749,1,0.418,3.65,0.419,0.174,0.219,0.776,-0.011,0.011,-0.026,0.009,0.68,0.216,0.377,1.069,0.039,0.022,0.015,0.084,-0.051,0.037,-0.121,0,0.98,0.586,0.228,2.1
23,"Prairie Hardwood Transition","American Redstart","Setophaga ruticilla","AMRE",219,11,266,52,0.531,0.033,0.48,0.581,0.012,0.024,-0.028,0.05,1.573,1.098,0.503,3.821,0.543,0.119,0.354,0.75,-0.012,0.031,-0.059,0.04,1.258,1.147,0.256,3.641,0.115,0.045,0.068,0.209,0.008,0.025,-0.021,0.059,1.122,0.48,0.483,2.035,0.576,0.245,0.303,1.079,0.102,0.027,0.061,0.149,0.709,0.175,0.476,1.042,0.062,0.04,0.025,0.146,0.138,0.044,0.067,0.211,0.975,0.331,0.562,1.624
23,"Prairie Hardwood Transition","Northern Cardinal","Cardinalis cardinalis","NOCA",722,18,678,214,0.579,0.018,0.55,0.608,0.001,0.007,-0.01,0.012,0.167,0.157,0.01,0.498,0.614,0.047,0.536,0.69,0.016,0.02,-0.011,0.053,0.391,0.275,0.032,0.904,0.237,0.04,0.179,0.31,0.008,0.016,-0.015,0.036,0.477,0.141,0.272,0.728,2.021,0.39,1.479,2.748,0.005,0.008,-0.008,0.018,0.124,0.064,0.023,0.233,0.41,0.117,0.259,0.635,0.016,0.016,-0.007,0.045,0.492,0.126,0.317,0.726
23,"Prairie Hardwood Transition","House Wren","Troglodytes aedon","HOWR",476,15,451,384,0.305,0.049,0.218,0.377,0.002,0.029,-0.037,0.059,0.936,0.555,0.198,1.997,0.627,0.072,0.511,0.747,-0.013,0.031,-0.066,0.034,0.897,0.599,0.138,2.046,0.625,0.153,0.422,0.915,0.004,0.014,-0.023,0.023,0.393,0.142,0.18,0.642,1.082,0.432,0.598,1.982,-0.006,0.013,-0.026,0.017,0.387,0.088,0.266,0.551,0.614,0.221,0.353,1.064,-0.002,0.011,-0.024,0.013,0.446,0.102,0.308,0.64
23,"Prairie Hardwood Transition","American Robin","Turdus migratorius","AMRO",735,18,706,391,0.511,0.029,0.46,0.554,0.002,0.02,-0.017,0.046,0.666,0.459,0.064,1.576,0.555,0.082,0.428,0.696,-0.008,0.026,-0.046,0.038,0.897,0.452,0.246,1.739,0.412,0.106,0.274,0.613,-0.006,0.009,-0.02,0.009,0.477,0.134,0.287,0.721,1.979,0.484,1.352,2.929,0.014,0.009,0,0.029,0.292,0.082,0.177,0.443,0.714,0.246,0.425,1.204,0.011,0.014,-0.01,0.034,0.351,0.096,0.218,0.53
23,"Prairie Hardwood Transition","Eastern Towhee","Pipilo erythrophthalmus","EATO",141,13,114,27,0.494,0.043,0.421,0.56,0.004,0.021,-0.034,0.034,0.511,0.57,0.048,1.741,0.989,0.11,0.688,1,-0.076,0.209,-0.48,0.176,1.555,2.188,0.131,7.012,0.215,0.057,0.128,0.312,-0.004,0.023,-0.034,0.039,0.766,0.44,0.126,1.56,0.498,0.126,0.317,0.727,0.021,0.015,-0.003,0.047,0.13,0.111,0.014,0.362,0.085,0.036,0.04,0.156,0.027,0.029,-0.01,0.084,0.509,0.345,0.052,1.16
23,"Prairie Hardwood Transition","Traill's Flycatcher","Empidonax alnorum/traillii","TRFL",566,11,638,62,0.52,0.03,0.467,0.564,-0.012,0.015,-0.039,0.011,0.234,0.213,0.025,0.682,0.436,0.068,0.341,0.563,0.03,0.035,-0.02,0.094,0.443,0.307,0.061,1.037,0.027,0.011,0.015,0.048,0.049,0.029,0.01,0.106,0.508,0.265,0.12,0.988,1.515,0.465,0.956,2.439,-0.021,0.01,-0.038,-0.004,0.173,0.079,0.036,0.303,0.034,0.023,0.014,0.082,0.042,0.036,-0.017,0.101,0.522,0.282,0.061,1.015
23,"Prairie Hardwood Transition","Veery","Catharus fuscescens","VEER",302,11,409,101,0.62,0.019,0.59,0.651,0.003,0.012,-0.017,0.02,0.417,0.368,0.043,1.174,0.563,0.057,0.452,0.635,-0.024,0.019,-0.058,0.003,0.364,0.337,0.034,1.076,0.134,0.039,0.088,0.213,0.032,0.03,-0.003,0.091,0.365,0.242,0.047,0.836,1.181,0.406,0.678,1.977,0.011,0.013,-0.009,0.034,0.106,0.073,0.015,0.249,0.138,0.068,0.066,0.279,0.067,0.032,0.015,0.12,0.216,0.177,0.016,0.576
23,"Prairie Hardwood Transition","Ovenbird","Seiurus aurocapilla","OVEN",406,11,438,66,0.54,0.051,0.451,0.617,0.024,0.02,-0.002,0.063,0.517,0.47,0.037,1.485,0.446,0.059,0.327,0.519,-0.006,0.033,-0.053,0.053,0.796,0.454,0.157,1.642,0.131,0.034,0.083,0.193,-0.003,0.018,-0.031,0.029,0.351,0.235,0.044,0.798,1.052,0.286,0.692,1.615,0.003,0.011,-0.016,0.022,0.141,0.087,0.018,0.298,0.107,0.046,0.055,0.201,0.001,0.025,-0.039,0.042,0.374,0.227,0.057,0.791
23,"Prairie Hardwood Transition","Field Sparrow","Spizella pusilla","FISP",804,12,761,177,0.472,0.029,0.429,0.524,0.023,0.016,0.002,0.053,0.482,0.239,0.097,0.893,0.837,0.066,0.727,0.946,-0.071,0.065,-0.201,0.005,0.849,0.539,0.183,1.91,0.246,0.048,0.179,0.335,-0.029,0.02,-0.065,0.001,0.482,0.168,0.231,0.772,1.596,0.48,1.016,2.581,-0.028,0.009,-0.043,-0.013,0.162,0.066,0.053,0.272,0.359,0.114,0.215,0.567,-0.063,0.023,-0.103,-0.026,0.643,0.156,0.434,0.94
23,"Prairie Hardwood Transition","Brown-headed Cowbird","Molothrus ater","BHCO",279,17,771,46,0.511,0.032,0.463,0.57,0.004,0.016,-0.019,0.031,0.326,0.291,0.034,0.934,0.619,0.078,0.499,0.754,0.001,0.025,-0.037,0.045,0.406,0.386,0.029,1.201,0.053,0.008,0.041,0.068,0.003,0.018,-0.027,0.033,0.401,0.254,0.047,0.864,1.995,0.454,1.378,2.848,-0.012,0.008,-0.025,0.002,0.101,0.063,0.011,0.214,0.096,0.035,0.052,0.166,-0.001,0.024,-0.042,0.039,0.56,0.283,0.131,1.065
23,"Prairie Hardwood Transition","Downy Woodpecker","Dryobates pubescens","DOWO",293,18,311,497,0.523,0.053,0.451,0.62,0.005,0.029,-0.041,0.053,1.638,0.927,0.598,3.538,0.849,0.119,0.623,0.995,0.014,0.047,-0.063,0.086,0.957,1.166,0.082,3.574,1.278,0.222,0.971,1.691,0.016,0.013,-0.004,0.038,0.157,0.118,0.012,0.386,1.031,0.176,0.786,1.362,0.007,0.01,-0.008,0.024,0.059,0.059,0.004,0.188,1.268,0.273,0.891,1.789,0.031,0.012,0.014,0.053,0.348,0.089,0.225,0.512
23,"Prairie Hardwood Transition","Gray Catbird","Dumetella carolinensis","GRCA",3422,18,3487,1379,0.516,0.015,0.489,0.539,-0.008,0.007,-0.021,0.001,0.135,0.106,0.012,0.342,0.6,0.021,0.563,0.634,-0.007,0.009,-0.021,0.007,0.182,0.124,0.017,0.417,0.24,0.046,0.178,0.327,0.003,0.006,-0.009,0.013,0.221,0.061,0.136,0.335,9.605,2.39,6.593,14.429,0.01,0.006,0,0.021,0.207,0.041,0.151,0.285,2.156,0.815,1.26,3.902,0.023,0.01,0.008,0.042,0.379,0.08,0.274,0.53
23,"Prairie Hardwood Transition","Red-eyed Vireo","Vireo olivaceus","REVI",230,17,232,8,0.609,0.03,0.554,0.65,-0.002,0.014,-0.026,0.018,0.94,0.974,0.105,2.965,0.471,0.159,0.238,0.764,-0.027,0.039,-0.085,0.039,2.273,2.329,0.237,7.961,0.026,0.01,0.012,0.046,-0.01,0.024,-0.054,0.023,0.69,0.596,0.059,1.914,0.922,0.228,0.626,1.363,0.011,0.015,-0.012,0.037,0.31,0.119,0.114,0.51,0.028,0.012,0.012,0.051,-0.019,0.026,-0.059,0.025,0.509,0.454,0.052,1.455
23,"Prairie Hardwood Transition","Indigo Bunting","Passerina cyanea","INBU",757,17,771,46,0.51,0.023,0.473,0.546,-0.001,0.013,-0.023,0.019,0.411,0.295,0.034,0.983,0.529,0.056,0.44,0.625,0.005,0.019,-0.025,0.035,0.42,0.277,0.051,0.938,0.055,0.013,0.037,0.078,-0.006,0.015,-0.029,0.018,0.4,0.265,0.029,0.887,1.983,0.544,1.302,3.041,-0.01,0.008,-0.023,0.004,0.094,0.063,0.009,0.208,0.086,0.036,0.044,0.16,-0.02,0.027,-0.062,0.025,0.567,0.292,0.109,1.081
23,"Prairie Hardwood Transition","Wood Thrush","Hylocichla mustelina","WOTH",319,13,341,94,0.45,0.033,0.394,0.5,0.003,0.017,-0.022,0.034,0.473,0.382,0.052,1.247,0.679,0.071,0.574,0.808,0.01,0.041,-0.047,0.085,0.842,0.784,0.106,2.282,0.182,0.028,0.145,0.234,0.008,0.023,-0.034,0.042,0.586,0.252,0.202,1.037,1.066,0.361,0.627,1.773,0.036,0.014,0.013,0.06,0.29,0.101,0.141,0.471,0.181,0.073,0.092,0.328,0.049,0.025,0.01,0.092,0.617,0.212,0.32,1.003
23,"Prairie Hardwood Transition","American Goldfinch","Spinus tristis","AMGO",1840,18,1602,1,0.433,0.023,0.391,0.467,-0.001,0.015,-0.02,0.028,0.293,0.245,0.029,0.805,0.686,0.081,0.566,0.833,-0.029,0.025,-0.075,0.007,0.5,0.42,0.057,1.25,0,0,0,0.001,-0.03,0.056,-0.117,0.064,1.001,1.152,0.069,3.546,3.268,1.092,2.04,5.458,-0.012,0.008,-0.024,0.001,0.194,0.051,0.124,0.289,0,0.001,0,0.003,-0.053,0.08,-0.175,0.085,1.214,1.263,0.139,3.991
23,"Prairie Hardwood Transition","Common Yellowthroat","Geothlypis trichas","COYE",2148,18,2620,785,0.504,0.017,0.476,0.534,0.004,0.007,-0.006,0.019,0.138,0.103,0.015,0.341,0.6,0.03,0.552,0.651,-0.007,0.014,-0.028,0.017,0.272,0.138,0.05,0.511,0.216,0.043,0.156,0.297,-0.001,0.01,-0.019,0.015,0.361,0.084,0.247,0.517,4.959,1.667,2.939,8.284,0,0.006,-0.011,0.01,0.114,0.04,0.053,0.183,0.973,0.448,0.499,1.879,-0.016,0.013,-0.038,0.005,0.393,0.087,0.276,0.557
23,"Prairie Hardwood Transition","Black-capped Chickadee","Poecile atricapillus","BCCH",620,18,690,900,0.488,0.022,0.451,0.523,0.01,0.011,-0.008,0.026,0.277,0.211,0.035,0.698,0.712,0.078,0.591,0.852,-0.031,0.028,-0.084,0.006,0.817,0.517,0.152,1.849,1.146,0.214,0.853,1.547,0.005,0.013,-0.014,0.028,0.347,0.094,0.213,0.517,1.992,0.399,1.451,2.758,-0.023,0.008,-0.038,-0.01,0.096,0.061,0.011,0.208,2.012,0.611,1.249,3.202,-0.018,0.009,-0.031,-0.001,0.442,0.083,0.333,0.6
23,"Prairie Hardwood Transition","Yellow Warbler","Setophaga petechia","YEWA",1325,17,1612,280,0.576,0.02,0.541,0.606,0.001,0.009,-0.011,0.017,0.22,0.184,0.023,0.606,0.501,0.04,0.436,0.568,-0.012,0.013,-0.028,0.015,0.208,0.177,0.02,0.566,0.169,0.043,0.113,0.252,-0.001,0.012,-0.025,0.013,0.493,0.138,0.309,0.754,2.311,0.895,1.354,4.158,0.022,0.012,0.004,0.044,0.332,0.088,0.215,0.498,0.366,0.2,0.161,0.784,0.018,0.018,-0.012,0.049,0.457,0.119,0.3,0.682
