BCR,BirdName,BirdScientificName,BirdCount
Southern Rockies/Colorado Plateau,Swainson's Thrush,Catharus ustulatus,296
Sonoran And Mojave Deserts,Song Sparrow,Melospiza melodia,363
Sierra Nevada,Dark-eyed Junco,Junco hyemalis,3856
Southeastern Coastal Plain,Northern Cardinal,Cardinalis cardinalis,1942
Prairie Potholes,Warbling Vireo,Vireo gilvus,221
Southeastern Coastal Plain,Indigo Bunting,Passerina cyanea,468
Great Basin,Warbling Vireo,Vireo gilvus,2801
Northern Rockies,Black-headed Grosbeak,Pheucticus melanocephalus,938
Prairie Potholes,Brown-headed Cowbird,Molothrus ater,208
Eastern Tallgrass Prairie,American Goldfinch,Spinus tristis,2176
Coastal California,Bushtit,Psaltriparus minimus,3121
Northern Pacific Rainforest,MacGillivray's Warbler,Geothlypis tolmiei,3185
Northern Pacific Rainforest,Bewick's Wren,Thryomanes bewickii,587
Northern Rockies,Traill's Flycatcher,Empidonax alnorum/traillii,1771
Sierra Nevada,Wilson's Warbler,Cardellina pusilla,2359
Prairie Hardwood Transition,Traill's Flycatcher,Empidonax alnorum/traillii,566
Southeastern Coastal Plain,American Redstart,Setophaga ruticilla,103
Piedmont,Carolina Wren,Thryothorus ludovicianus,759
Mississippi Alluvial Valley,Painted Bunting,Passerina ciris,128
Tamaulipan Brushlands,White-eyed Vireo,Vireo griseus,243
Boreal Hardwood Transition,American Redstart,Setophaga ruticilla,1015
West Gulf Coastal Plain/Ouachitas,Northern Cardinal,Cardinalis cardinalis,617
Boreal Taiga Plains,Swainson's Thrush,Catharus ustulatus,827
Sierra Nevada,Yellow Warbler,Setophaga petechia,1133
Sierra Nevada,Lincoln's Sparrow,Melospiza lincolnii,1845
Central Hardwoods,Yellow-breasted Chat,Icteria virens,1651
West Gulf Coastal Plain/Ouachitas,Indigo Bunting,Passerina cyanea,689
Appalachian Mountains,American Robin,Turdus migratorius,734
Coastal California,Lincoln's Sparrow,Melospiza lincolnii,208
Southeastern Coastal Plain,Eastern Towhee,Pipilo erythrophthalmus,265
New England/Mid-Atlantic Coast,Black-capped Chickadee,Poecile atricapillus,1105
Tamaulipan Brushlands,Yellow-breasted Chat,Icteria virens,333
